"版本","條次","變更類型","變更方向","對甲方法律/商業風險","說明"
"v2","4.1","修改","對甲方不利","中","可用率從 99.9% 降為 99.5%，系統可允許更多停機時間，服務品質門檻下降"
"v2","5.2","修改","對甲方不利","高","P1 初始回應由 30 分鐘放寬為 2 小時，重大故障時乙方可更晚開始處理"
"v2","5.2","修改","對甲方不利","中","P2 初始回應由 2 小時放寬為 4 小時，重要功能異常處理變慢"
"v2","5.2","修改","對甲方不利","低","P3 初始回應由 1 個工作日放寬為 2 個工作日，影響相對較小"
"v2","5.3","修改","對甲方不利","高","P1 修復目標時間由 4 小時延長為 8 小時，重大故障容忍時間加倍"
"v2","5.3","修改","對甲方不利","中","P2 修復由 8 小時改為 2 個工作日，重要問題可能拖延到多日"
"v2","5.3","修改","對甲方不利","低","P3 修復由 3 個工作日改為 5 個工作日，一般問題可被延後處理"
"v2","6.1","修改","對甲方不利","低","維護預告由 3 個工作日前縮短為 1 個工作日前，甲方準備時間變少"
"v2","9.1","修改","對甲方不利","低","報告提交期限由 5 個工作日延長為 10 個工作日，信息回饋變慢"
"v2","10.2","修改","對甲方不利","中","折讓條件放寬（門檻從 99.5% → 99.0%，折讓比例從 5% → 2%），實際賠償減少"
"v2","10.3","修改","對甲方不利","中","連續未達標門檻由 99.5% 降至 99.0%，甲方較難觸發改善與談判機會"